Card_Type,Name,MagStrip,DoubleSided,Card Type,New Card Type ID,Slot Punch,Overlay,Col/Col,drop ship?,Accessories,grommet,hole punch
520,1S-MagDisk-DROP SHIP,FALSE,FALSE,MAG DISK,,FALSE,FALSE,FALSE,TRUE,NONE,FALSE,FALSE
521,2S-C/B-MagDisk-DROP SHIP,FALSE,TRUE,MAG DISK,,FALSE,FALSE,FALSE,TRUE,NONE,FALSE,FALSE
522,2S-C/C-MagDisk-DROP SHIP,FALSE,TRUE,MAG DISK,,FALSE,FALSE,TRUE,TRUE,NONE,FALSE,FALSE
523,2S-Blu LY-Clip-CLr BH-Drop SHIP,FALSE,TRUE,KONA 25,,FALSE,FALSE,FALSE,TRUE,CLIP, HOR BH, BLU LY,FALSE,FALSE
530,1S-Kona25 Java Smartcard,FALSE,FALSE,KONA 25,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
531,2S-C/B-Kona25 Java Smartcard,FALSE,TRUE,KONA 25,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
532,2s-Kona25 C/C-Slot,FALSE,TRUE,KONA 25,,TRUE,FALSE,TRUE,FALSE,NONE,FALSE,FALSE
540,C-BW Cust-Ltr DROP SHIP,FALSE,TRUE,PVC White,1,FALSE,FALSE,FALSE,TRUE,NONE,FALSE,FALSE
541,C-BW SLOT Cust-Ltr DROP SHIP,FALSE,TRUE,PVC White,1,FALSE,FALSE,FALSE,TRUE,NONE,FALSE,FALSE
800,The IT Company Prox C/BW,FALSE,TRUE,THE IT COMPANY PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
801,Signature Panel C/BW Slot Punch,FALSE,TRUE,SIG PANEL,,TRUE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
857,Surge Innovations PROX C/BW,FALSE,TRUE,SURGE INNOVATIONS PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
858,Morris Tech PROX C/BW,FALSE,TRUE,MORRIS TECH PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
859,2 side + CLIP C/BW,FALSE,TRUE,PVC White,1,FALSE,FALSE,FALSE,TRUE,CLIP,FALSE,FALSE
860,2S-C/B-Slot-OL,FALSE,TRUE,PVC White,1,TRUE,TRUE,FALSE,FALSE,NONE,FALSE,FALSE
869,2 side MAG SLOT PUNCH C/BW,TRUE,TRUE,MAG STRIPE,2,TRUE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
870,1S-Slot-OL,FALSE,FALSE,PVC White,1,TRUE,TRUE,FALSE,FALSE,NONE,FALSE,FALSE
871,1 side SLOT PUNCH + CLIP,FALSE,FALSE,PREDICTIVE BIOSCI PROX,,TRUE,FALSE,FALSE,TRUE,CLIP,FALSE,FALSE
872,Predictive Biosci PROX C/BW,FALSE,TRUE,COMPOSITE,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
873,2 side COMPOSITE CARD C/BW,FALSE,TRUE,RAPID QUALITY PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
874,Rapid Quality Manuf. PROX C/BW,FALSE,TRUE,PVC White,1,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
875,2S-C/C-Slot-OL,FALSE,TRUE,PVC White,1,TRUE,TRUE,TRUE,FALSE,NONE,FALSE,FALSE
876,2 side Drop+Bl Vert BH+Bl Lanyard,FALSE,TRUE,PVC White,1,FALSE,FALSE,FALSE,TRUE,BLK VERT BH, BLK LAN,FALSE,FALSE
